,month,hs,hmax,tz,tp,peak_direction,sst
0,2018-01,0.9605705645161301,1.7508266129032237,5.261663978494627,8.713735215053761,97.3068548387097,26.23222446236557
1,2018-02,1.4870275297619042,2.557167410714283,5.811504464285711,9.38993824404763,102.06190476190477,26.401599702380878
2,2018-03,1.5169099462365587,2.6931270161290346,5.568007392473118,8.865641129032248,98.38541666666667,25.84122983870969
3,2018-04,1.2322388888888902,2.2608645833333334,5.432845833333331,8.128548611111107,95.48381944444445,24.733888888888846
4,2018-05,1.1090154569892479,1.9211720430107546,5.52769489247312,8.776596774193555,109.22533602150537,23.25245295698913
5,2018-06,1.1908777777777768,2.0018625,5.857613194444448,9.974677083333331,108.22152777777778,21.630694444444437
6,2018-07,0.8081586021505385,1.4154858870967768,5.493550403225805,9.306890456989239,102.8106182795699,20.601982526881706
7,2018-08,0.6404018817204298,1.2263541666666675,5.371014784946239,10.31577688172043,107.2047043010753,19.98541666666668
8,2018-09,0.9766111111111119,1.7509743055555569,5.261009722222213,8.527104166666673,102.69527777777779,20.8261111111112
9,2018-10,0.8706982526881732,1.7827580645161303,5.570998655913975,8.729518817204307,101.05443548387096,21.603326612903228
10,2018-11,0.5564729166666662,1.2834499999999989,4.816846527777774,7.779170833333341,91.8866666666667,23.004583333333347
11,2018-12,1.222375672043012,2.1936545698924754,5.298801747311826,7.88231451612904,88.19516129032257,24.384811827956987
12,2019-01,1.0489291666666667,1.8310066666666664,5.244700833333325,7.87505666666666,87.14016666666666,26.17237500000001
13,2019-02,0.7191827651515157,2.0087329545454544,4.875465909090904,8.497441287878793,95.07812500000001,24.48129734848489
14,2019-03,0.7686316666666673,1.54387666666667,5.233674999999997,8.425835833333347,95.09316666666669,25.33537499999996
15,2019-04,1.5057578124999993,2.575695312500002,5.618109374999997,8.934209201388883,89.69722222222224,24.55438368055562
16,2019-05,1.2404433333333331,2.0997966666666703,5.55345583333334,8.509789166666677,88.27008333333333,23.47829166666664
17,2019-06,1.0806111111111114,1.9374340277777786,5.47245399305555,9.448506076388897,102.88255208333334,21.931076388888954
18,2019-07,1.5053298611111114,2.554100694444445,6.283177083333331,9.61607638888889,95.69791666666667,24.888368055555524
19,2019-08,1.4009166666666677,2.3642534722222215,6.145152777777771,9.479993055555552,96.36458333333333,24.911284722222256
20,2019-09,1.1098055555555546,1.8748611111111115,6.011562499999999,9.066913194444444,94.29861111111111,24.998958333333288
21,2019-10,1.0796666666666668,1.8100694444444443,5.8147152777777755,8.467506944444445,96.66319444444444,25.06597222222226
22,2019-11,1.1511770833333324,1.9452430555555549,5.334045138888887,8.359597222222225,93.31944444444444,24.986111111111065
23,2019-12,1.231104166666667,2.0781215277777796,5.23717013888889,8.286760416666672,92.85069444444444,25.032986111111114
